,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
2663,1,0,1,0,1.0843365120829946,1,1,1.475287126228552,1.8873079729248057,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
2894,1,0,0,0,0.6364125111626608,1,1,-0.1466267459335843,0.27070331985008306,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
2265,0,0,0,0,-0.8295205827584317,1,1,1.6015836982411773,-0.39673913274811295,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
4908,1,1,0,0,-0.1779947632379461,1,1,1.3755793062185846,0.3837797675134958,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
3621,1,0,1,1,-1.2367242199587352,0,1,-1.341458789053027,-0.9920131145513661,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
3403,1,0,0,0,-1.1552834925186746,1,1,-1.4727407520661506,-0.9715701644271334,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
2823,0,0,1,0,0.26992923768238775,1,1,-1.4727407520661506,-0.6593405277024853,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
554,0,0,0,0,-0.015113308357824713,1,1,0.5180920541328647,0.138133216722634,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
5199,1,0,0,0,0.758573602322752,1,1,1.5533915852363596,1.5100185370466868,-1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
6089,1,1,1,0,-1.2774445836787656,1,1,0.85876043916692,-0.968148288326425,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
4114,1,0,1,1,0.758573602322752,1,1,-1.4893587220678117,-0.5539246671806587,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
152,1,0,1,1,1.5322605130033284,1,1,1.4420511862252297,2.493443651770308,-1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0
895,0,0,0,0,-0.0965540357978854,1,1,0.9817334171792131,0.1750232487502721,-1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
615,1,0,0,0,-0.7073594915983407,1,1,-0.5288400559717926,-0.7293675663569846,-1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
6630,0,1,0,0,-0.6666391278783103,1,1,0.464914550127549,-0.47025427736333447,-1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2692,1,0,0,0,-0.4223169455581282,1,1,-0.4972659129686364,-0.5449615594588029,-1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
2309,0,0,0,0,1.002895784642934,1,1,0.8537750481664219,1.3009750222234038,-1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
3379,1,0,0,0,-1.2367242199587352,1,1,-1.5109620830699715,-0.9885470852106485,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
5040,0,0,1,1,-0.5037576729981889,1,1,1.0648232671875193,-0.20160388852770958,-1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1
1877,0,0,0,0,1.6137012404433893,1,1,0.7906267621601091,1.8010325419469424,-1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
156,1,0,0,0,-0.4223169455581282,1,1,0.6443886261454905,-0.20370116742814384,-1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
1022,1,1,0,0,-1.1145631287986442,1,1,0.6626683931473177,-0.834849656738825,-1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
3533,1,0,0,0,-0.9109613101984924,1,1,-1.4943441130683104,-0.9206173254565835,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
6372,0,0,1,1,-1.1552834925186746,1,1,-1.504314895069307,-0.9653887108258535,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
25,1,0,0,0,-0.0965540357978854,1,1,-0.31446824295036285,-0.3323416321947793,-1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
2496,0,0,0,0,-0.5851984004382496,1,1,-1.4860351280674797,-0.8365716330991816,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
1100,0,0,0,1,-0.7073594915983407,1,1,-1.328164413051698,-0.8650283962850736,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
2910,1,0,1,1,0.10704778280226633,1,1,-1.3082228490497045,-0.5887836501678764,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
1745,1,0,1,1,0.9621754209229036,1,1,-1.4943441130683104,-0.5136789889123257,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3989,1,0,0,1,-0.9924020376385531,0,1,-0.8728320350061801,-0.8620922058244657,-1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
4326,0,0,0,0,-1.2774445836787656,1,1,0.8089065291619363,-0.9688105869265621,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
45,1,0,0,0,0.6771328748826912,1,1,0.6560212051466532,0.7167835036624451,-1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
4188,1,1,0,0,-0.1779947632379461,1,1,1.2808568772091153,0.26816450854955737,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
382,0,1,1,1,1.6137012404433893,0,1,0.001273187081200524,1.0813347297979268,-1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
2486,1,0,1,1,-0.1779947632379461,1,1,0.8537750481664219,0.09976405115468952,-1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
6678,0,0,0,1,-0.5444780367182193,1,1,-1.4594463760648215,-0.8017347267319684,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
4626,1,1,0,0,1.247217966963116,1,1,0.8255244991635975,1.437408533851653,-1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
1920,0,0,1,0,-0.4223169455581282,1,1,-1.4727407520661506,-0.7999465205115982,-1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
4605,0,0,1,0,1.247217966963116,1,1,0.08270124008934066,0.8613632880723807,-1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
2024,0,0,0,0,-0.8295205827584317,1,1,1.0282637331838649,-0.48537676206646563,-1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
3768,1,0,1,0,0.9214550572028734,1,1,0.43167861012422654,0.875602707975329,-1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
523,1,0,0,0,-0.38159658183809786,1,1,0.36022133911708304,-0.23167224497393538,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1063,0,0,0,0,-0.9109613101984924,1,1,-0.08347845992727167,-0.7375138391386713,-1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
2021,0,0,1,1,1.2064976032430856,1,1,1.4420511862252297,2.005594502909297,-1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1708,0,0,0,0,-1.1552834925186746,1,1,0.32033821111309646,-0.8758238634673088,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
